macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
0.54188025,0.4997894,0.24371366,0.81050855,1.051473,-0.5582317,-0.4645417,1.1903033,1.008101,1.1677473,-0.5206244,0.13837859,-0.15867493,0.88882565,75.5877,2020-02-14,0.34500000000000003,0.4112649862179965,0.75,10.0,0.6
0.5467941,0.515541,0.21163076,0.7812363,0.95837015,-0.5506887,-0.46650878,1.2294161,1.1391319,1.094771,-0.5139525,-0.06591454,-0.14146152,0.6854767,75.53451,2020-02-18,0.19166666666666665,0.5124953806148063,0.9,12.0,0.65
0.55749196,0.53043056,0.2010902,0.753611,1.1693925,-0.5420998,-0.46914223,1.3334374,1.2660033,1.1527247,-0.50688267,0.16523583,-0.029789504,0.69552803,75.88344,2020-02-19,0.18571428571428572,0.530498417932204,0.8,7.0,0.55
0.53616476,0.5377804,0.1089087,0.47628883,0.8962636,-0.5366038,-0.46999645,1.1859869,1.2945678,0.8335558,-0.50174314,-0.27933845,0.17049158,0.5776521,75.45896,2020-02-20,-0.07727272727272726,0.4961671272684418,0.75,11.0,0.4
0.43262142,0.52151304,-0.17984065,-0.10031544,-0.16043517,-0.5367382,-0.47009745,0.19896275,0.93864286,-0.6806839,-0.5019569,-0.9793416,0.86873215,0.3615184,73.81672,2020-02-21,-0.13214285714285715,0.5716397274700018,0.8,14.0,-0.4
0.19447327,0.45756075,-0.76284635,-1.4723115,-1.7553911,-0.53215826,-0.48244318,-0.61020905,0.39395675,-1.634454,-0.5115007,-1.8501979,0.19502388,-1.2706838,70.659485,2020-02-24,-0.06153846153846155,0.533523603880312,0.8,13.0,-0.3
-0.07528373,0.3486995,-1.3119115,-1.794689,-1.9045633,-0.5224661,-0.50047946,-1.2148395,-0.19886518,-2.1357973,-0.525014,-0.9821922,1.6607106,-1.2118455,69.01228,2020-02-25,0.23000000000000004,0.4883077353927997,0.8,10.0,-0.6
-0.27805746,0.21823843,-1.5759951,-1.7593702,-1.727912,-0.5147642,-0.51857376,-1.5407367,-0.71788734,-2.1791422,-0.53654385,0.09979871,0.13790846,-1.1491207,69.247375,2020-02-26,0.03571428571428571,0.476719943742555,0.85,7.0,-0.3
-0.61294276,0.04223971,-2.1327481,-2.341329,-2.0268292,-0.48838148,-0.5703906,-1.8886167,-1.196061,-2.3116846,-0.5580294,-2.180765,1.6394689,-2.2147496,65.51507,2020-02-27,0.09214285714285715,0.4640487138126867,0.85,14.0,-0.3
-0.82195616,-0.14326595,-2.248982,-2.1639173,-1.1557615,-0.47628504,-0.6025677,-1.739914,-1.4583516,-1.724264,-0.574342,0.5715197,-2.2343566,-1.903185,66.57079,2020-02-28,-0.18749999999999997,0.7553972464869064,0.85,4.0,-0.2
-0.8631427,-0.30048,-1.9030832,-1.3688025,-0.51061755,-0.47414201,-0.6122261,-1.3588759,-1.4884565,-0.94918793,-0.58177334,1.3869424,-1.3435222,-1.5982407,69.045074,2020-03-02,0.15,0.5024937810560445,0.75,5.0,-0.25
-1.000672,-0.45566794,-1.8783112,-1.3077781,-1.129063,-0.47039884,-0.63972574,-1.3712867,-1.5132413,-0.94513017,-0.5955213,-1.3987602,2.154273,-1.8624716,66.67319,2020-03-03,0.020833333333333332,0.5540997339392206,0.8,12.0,0.2
-0.9947033,-0.57854164,-1.4832306,-1.0925877,-0.5441787,-0.47020575,-0.64972866,-1.0738435,-1.4167664,-0.4765435,-0.6013168,1.2540947,-0.96968275,-1.4427438,68.91636,2020-03-04,0.19090909090909092,0.5323618045174644,0.75,11.0,-0.15
-1.1400586,-0.7079312,-1.5628948,-1.367827,-1.4187193,-0.46262646,-0.678975,-1.1586878,-1.3846819,-0.6779926,-0.6164934,-1.9633456,1.1704388,-1.7404927,65.56229,2020-03-05,-0.01666666666666667,0.609302880347697,0.75,9.0,0.2
-1.2926137,-0.8440734,-1.6454548,-1.524906,-1.574905,-0.45784262,-0.7130015,-1.3283038,-1.4277291,-0.958813,-0.63326174,-0.6247681,-0.75219643,-1.8791828,64.53688,2020-03-06,-0.03888888888888889,0.42114262561644256,0.6,9.0,0.2
-1.5947627,-1.0176151,-2.102707,-1.8102918,-1.8827702,-0.44033307,-0.77494156,-1.6466594,-1.5773698,-1.4075934,-0.660629,-2.402482,-0.34613955,-2.1310847,60.41886,2020-03-09,0.10714285714285716,0.5294876229499069,0.85,7.0,-0.4
-1.6648709,-1.171444,-1.8616964,-1.4074013,-1.2160709,-0.44930774,-0.80195624,-1.399927,-1.5833972,-0.9210259,-0.6758464,1.8169501,-0.71704614,-1.6655349,63.64121,2020-03-10,0.018750000000000003,0.3702677602569717,0.55,8.0,-0.65
-1.8563389,-1.335461,-1.9862576,-1.5338824,-1.8343058,-0.45260507,-0.8457559,-1.6674929,-1.6890631,-1.3210701,-0.6991801,-1.8919113,1.2850441,-1.8278081,60.411407,2020-03-11,0.11521739130434783,0.45111850453992675,0.85,23.0,-0.6
-2.2238796,-1.5452893,-2.5463552,-1.901651,-2.0245442,-0.44356155,-0.9209462,-1.9714313,-1.8749726,-1.7005711,-0.7350855,-2.9067702,0.43558416,-1.9893616,55.4161,2020-03-12,0.1733333333333333,0.4321320344965127,0.75,15.0,-0.75
-2.2444124,-1.7175438,-2.0869703,-1.4739815,-0.93261343,-0.46489212,-0.94511026,-1.6519369,-1.8775371,-1.0764735,-0.75214136,2.959521,-1.461787,-1.2113376,60.62613,2020-03-13,0.026470588235294107,0.5256298742517231,0.8,17.0,-0.6
-2.5553272,-1.9218502,-2.4788427,-1.7967446,-1.9432466,-0.4708798,-1.0090692,-1.9224557,-1.9820162,-1.4836088,-0.7875044,-3.9039135,0.45682016,-1.487731,53.896133,2020-03-16,-0.01428571428571429,0.5729238677536119,0.75,14.0,-0.75
-2.6901047,-2.1141233,-2.3317225,-1.6320113,-1.4317807,-0.4958192,-1.046221,-1.8380271,-2.0195947,-1.2767195,-0.8142781,0.97809076,-0.94772017,-1.3423665,55.659153,2020-03-17,0.0975,0.4655147123007188,0.8,20.0,-0.65
-2.8222573,-2.2962086,-2.2071624,-1.5859401,-1.5011507,-0.52927506,-1.0788352,-1.7658966,-2.017245,-1.1391512,-0.8418877,-0.69248134,-1.4456769,-1.2059971,54.51595,2020-03-18,-0.24375,0.3110322675038258,0.7,8.0,-0.6
-2.8536968,-2.4486015,-1.8441378,-1.2930598,-1.3333477,-0.5735179,-1.0951842,-1.5720596,-1.9420401,-0.84781206,-0.864146,0.49294776,-0.78478235,-1.2189296,55.434986,2020-03-19,0.02857142857142858,0.537631490007439,0.7,7.0,-0.4
-2.949783,-2.5910678,-1.7227774,-1.2890829,-1.7233149,-0.61003995,-1.1216524,-1.7033724,-1.941789,-1.1034039,-0.89060986,-1.263053,2.350895,-1.5756149,53.299183,2020-03-20,0.029166666666666664,0.41035369075366135,0.75,12.0,-0.7
-3.03157,-2.722535,-1.5882936,-1.4326332,-1.6520714,-0.6329489,-1.1554005,-1.7458937,-1.9577752,-1.1678954,-0.9168645,-0.48391005,0.20161651,-1.4966325,52.51882,2020-03-23,0.1625,0.3523460334284001,0.8,12.0,-0.7
-2.8821921,-2.7957573,-0.8761859,-0.9492116,-0.8565196,-0.6612423,-1.165267,-1.1646826,-1.747632,-0.27686486,-0.92916024,2.1886647,-1.0941768,-1.3305842,56.387825,2020-03-24,0.3375,0.3985389985099743,0.8,16.0,-0.4
-2.810531,-2.8390074,-0.5097372,-0.9276837,-1.0128553,-0.69396514,-1.1761829,-1.0064361,-1.547419,-0.19689439,-0.94499105,-0.9487676,0.90754765,-1.2320745,54.79877,2020-03-25,0.010000000000000005,0.41584681245450406,0.8,15.0,-0.4
-2.5869553,-2.8257864,0.18069425,-0.70071965,-0.1671802,-0.71243024,-1.1810986,-0.1378002,-1.0839506,0.96485835,-0.95059085,1.6578064,-1.799376,-0.8935897,57.744263,2020-03-26,0.2611111111111111,0.5230784942158405,0.8,9.0,0.25
-2.5051804,-2.797718,0.3622157,-0.7816846,-0.8125717,-0.7379962,-1.1898708,-0.04115008,-0.73825467,0.7596111,-0.96317065,-1.4936289,0.5772832,-0.7892501,55.207336,2020-03-27,0.16999999999999998,0.2800793538346667,0.7,10.0,0.25
-2.3313675,-2.7380857,0.7481216,-0.67278576,-0.21844183,-0.78538203,-1.1767918,0.36460206,-0.35364622,1.1110842,-0.9692368,0.9963786,-0.7679405,-0.9200657,57.00217,2020-03-30,0.25625,0.5102082907989638,0.85,8.0,0.15
-2.1345382,-2.6482797,1.1170369,-0.40493473,0.40811726,-0.820793,-1.1666167,0.73967004,0.045246862,1.3866527,-0.97237146,0.42151994,-0.53836423,-0.60670274,57.796947,2020-03-31,0.33125,0.5175060386121112,0.75,8.0,0.3
-2.093274,-2.5676086,1.005349,-0.78386563,-0.5303111,-0.8839381,-1.1424019,0.46698862,0.20758457,0.6718622,-0.9836262,-1.6693391,0.62927544,-0.42264578,54.954346,2020-04-01,0.1111111111111111,0.448454134902457,0.8,9.0,0.15
-2.00481,-2.4841497,1.0394319,-0.70230025,0.20322551,-0.9275707,-1.1263328,0.42431408,0.2995978,0.4842451,-0.9915686,0.3995175,-0.79723287,-0.8979886,55.710846,2020-04-02,0.015000000000000003,0.5622622954537223,0.75,10.0,-0.2
-1.9697744,-2.4098887,0.9269771,-0.8575715,-0.27704072,-0.9704498,-1.1114714,-0.30513167,0.08382496,-0.6885904,-1.0021344,-0.6913367,0.8033761,-0.2933774,54.569633,2020-04-03,0.17,0.38340579025361626,0.75,5.0,-0.1
-1.7147439,-2.2959306,1.4123237,0.33875257,1.1980014,-0.97767305,-1.1081367,0.30778363,0.17282155,0.40186152,-0.99858683,2.5086644,-1.7616612,0.0084320055,58.995327,2020-04-06,0.35000000000000003,0.5315072906367324,0.75,7.0,0.25
-1.499711,-2.1587698,1.6960027,0.99037033,0.72667694,-1.0134013,-1.083917,0.4240535,0.2763232,0.51020825,-0.99543744,-0.047052193,1.2923658,0.16118893,58.97495,2020-04-07,0.34375,0.47542274421222813,0.8,8.0,0.3
-1.2618476,-1.9981637,1.9826508,1.2109729,1.1070515,-1.0152166,-1.0827447,0.74364424,0.4667363,0.9150193,-0.989089,0.6438027,-0.108875625,0.18744119,60.15642,2020-04-08,0.34615384615384615,0.46253897964637286,0.8,13.0,0.3
-1.0617262,-1.826874,2.1132693,1.0596341,1.117261,-0.9984384,-1.0856373,0.9633779,0.67715466,1.1029304,-0.98317283,-0.001909298,0.49197045,0.5210337,60.214577,2020-04-09,0.13214285714285715,0.501385443184545,0.75,14.0,0.35
-0.8818885,-1.6513761,2.1647203,0.9410747,1.1566474,-0.999177,-1.0851738,1.1718488,0.8966311,1.2586412,-0.97692084,0.13923159,-0.27730268,0.682791,60.51827,2020-04-13,0.21666666666666665,0.47504385762439516,0.7,6.0,0.2
-0.6133107,-1.4535306,2.437946,1.3984959,1.1277862,-0.9651371,-1.092815,1.2982179,1.0909564,1.2833298,-0.9636581,1.4409463,-0.85434824,0.56037444,63.0865,2020-04-14,0.275,0.5453082716327629,0.8,10.0,0.25
-0.41508466,-1.252855,2.472549,1.0824379,1.0146888,-0.938246,-1.0994011,1.3330448,1.2337372,1.188658,-0.95265365,-0.22847895,-0.5877976,0.8007692,62.7505,2020-04-15,-0.06785714285714287,0.4513258855251435,0.8,14.0,0.2
-0.2560661,-1.0583012,2.3976996,0.8968044,1.0314198,-0.91593146,-1.0970598,1.3635737,1.3405219,1.1265674,-0.9425499,-0.0067663197,0.41874224,0.48629826,62.800205,2020-04-16,0.30454545454545456,0.4446653491416581,0.7,11.0,0.25
-0.08560325,-0.8661974,2.367748,0.9326519,1.1663324,-0.8898715,-1.0986403,1.4187889,1.4326881,1.1290994,-0.93049675,0.5298085,0.08811197,1.2219017,63.783367,2020-04-17,0.22142857142857145,0.3025683708645354,0.7,7.0,-0.25
0.0066032805,-0.6927918,2.1391382,0.6619284,0.90396637,-0.8771854,-1.0812157,1.190082,1.407247,0.7133676,-0.92204106,-0.5107717,0.1902638,0.79818434,62.956276,2020-04-20,0.27222222222222225,0.4131518418746846,0.7,9.0,0.25
-0.042298898,-0.5645273,1.5872357,0.15011087,0.11135768,-0.88257396,-1.049449,0.32341152,1.0610399,-0.5779257,-0.92179066,-1.4716243,1.1521304,0.09652339,60.45763,2020-04-21,0.11666666666666665,0.49966655548141975,0.8,6.0,-0.15
0.026259353,-0.44725147,1.4528855,0.478692,0.8503586,-0.8700652,-1.0424258,0.39434978,0.8571844,-0.20815791,-0.9146646,1.3038051,-0.6174531,1.064402,62.78728,2020-04-22,0.16999999999999998,0.5017113569716015,0.8,15.0,-0.3
0.10698959,-0.33616313,1.3772362,0.5686515,1.0569072,-0.8604093,-1.0249695,0.62295717,0.8081285,0.29210624,-0.90628886,0.33894837,-0.14475782,1.0536124,63.43841,2020-04-23,0.3227272727272727,0.4343752043819009,0.75,11.0,-0.3
0.17268646,-0.23324029,1.277403,0.40584436,1.0296508,-0.8470393,-1.0207052,0.7622636,0.8283463,0.5399604,-0.8982691,0.0503755,-0.6346637,1.394352,63.587524,2020-04-24,0.24374999999999997,0.45937651846201905,0.7,8.0,-0.1
0.21080002,-0.14274977,1.1254029,0.456518,0.74049664,-0.842106,-0.99943966,0.7722897,0.8456343,0.5397926,-0.8915182,-0.13334052,0.7662171,0.79522705,63.417034,2020-04-27,0.205,0.21402232489989345,0.6,10.0,0.15
0.1360632,-0.08634308,0.70868707,0.06616464,-0.6051016,-0.84171665,-0.9858266,0.056930263,0.5853958,-0.555084,-0.8916237,-1.2413379,2.0162392,0.15179159,61.319008,2020-04-28,0.18958333333333333,0.3085658152142596,0.8,24.0,0.15
